Title: The Rotation of M Dwarfs Observed by the Apache Point 
       Galactic Evolution Experiment 
Authors: Gilhool S.H., Blake C.H., Terrien R.C., Bender C., 
         Mahadevan S., Deshpande R. 
Table: v sin i Results
================================================================================
Byte-by-byte Description of file: ajaa9c7ct4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label       Explanations
--------------------------------------------------------------------------------
   1- 17 A17    ---      ID          2MASS identifier
  19- 30 F12.8  deg      RAdeg       Right Ascension in decimal degrees (J2000)
  32- 44 F13.9  deg      DEdeg       Declination in decimal degrees (J2000)
  46- 49 I4     K        Teff-ASPCAP ASPCAP derived effective temperature
  51- 54 I4     K        Teff-VFIT   VFIT derived effective temperature
  56- 59 F4.1   [Sun]    [M/H]       VFIT derived metallicity
  61- 63 F3.1   [cm/s2]  logg        VFIT derived log surface gravity
  65- 65 A1     ---    l_vsini       Limit flag on vsini  
  66- 70 F5.2   km/s     vsini       VFIT derived projected rotation velocity
  72- 74 F3.1   km/s   e_vsini       ? Uncertainty in vsini  
--------------------------------------------------------------------------------
2M02420546+5506554  40.522786    55.115398    3441 3500 -0.0 5.0 < 8.0      
2M02465257+5619505  41.719054    56.330704    3378 3300 -0.0 4.5 < 8.0      
2M03023866+6228135  45.661089    62.470444    3398 3400 -0.0 4.5 < 8.0      
2M03044335+6144097  46.180640    61.736034    3420 3400 -0.0 4.5 < 8.0      
2M03062774+6254388  46.615589    62.910782    3165 3200 -0.0 5.0 < 8.0      
2M03100122+6306218  47.505084    63.106079    3290 3300 -0.0 5.0 < 8.0      
2M03140624+5728568  48.526026    57.482445    3412 3400 +0.5 5.5 < 8.0      
2M03143718+0030111  48.654951     0.50308600  3563 3500 -0.0 4.5 < 8.0      
2M03150093+0103083  48.753909     1.0523240   3621 3600 -1.0 4.5 < 8.0      
2M03150691+4016231  48.778809    40.273090    3407 3400 +0.5 5.0 < 8.0      
2M03152943+5751330  48.872662    57.859180    3312 3300 -0.0 5.0 < 8.0      
2M03184739+0803206  49.697497     8.0557450   3728 3800 -0.5 4.5 < 8.0      
2M03190500+6149280  49.770839    61.824467    3355 3300 -0.0 5.0   8.55 1.5 
2M03192308+0215421  49.846174     2.2617200   3768 3800 -0.0 4.5  14.1  1.5 
2M03192872+6156045  49.869708    61.934605    3237 3200 +0.5 5.5  17.1  1.5 
2M03204249+0902099  50.177068     9.0360940   3338 3300 -0.0 4.5 < 8.0      
2M03212176+7958022  50.340691    79.967285    3586 3500 -0.0 4.5 < 8.0      
2M03223455+5049115  50.643964    50.819885    3319 3400 -0.0 5.0 < 8.0      
2M03234657+0805058  50.944073     8.0849690   2895 3000 -0.5 5.5 < 8.0      
2M03254578+0951591  51.440775     9.8664380   3431 3400 +0.5 5.0 < 8.0      
2M03264491+7108292  51.687157    71.141464    3328 3300 -0.0 5.0 < 8.0      
2M03280163+5226180  52.006827    52.438358    3780 3800 -0.0 4.5 < 8.0      
2M03282794+0813110  52.116440     8.2197380   3135 3100 +0.5 5.5 < 8.0      
2M03300766+4711159  52.531921    47.187763    3041 3000 -0.0 5.0   8.39 1.5 
2M03305473+7041145  52.728069    70.687378    3270 3200 -0.0 5.0 < 8.0      
2M03355099+7140275  53.962466    71.674332    3192 3200 +0.5 5.5 < 8.0      
2M03380791+4727134  54.532968    47.453743    3295 3300 -0.5 4.5 < 8.0      
2M03391302+4635276  54.804269    46.591000    3402 3300 -0.0 4.5 < 8.0      
2M03391968+3251001  54.832001    32.850037    3500 3500 +0.5 5.5 < 8.0      
2M03400164+4638456  55.006837    46.646011    3637 3600 -0.5 4.5 < 8.0      
2M03414157+3130583  55.423244    31.516216    3370 3300 -0.0 4.5 < 8.0      
2M03424828+3040342  55.701172    30.676168    3040 3000 -0.0 5.0   8.86 1.6 
2M03425617+2515528  55.734068    25.264671    3168 3100 -0.0 4.5 < 8.0      
2M03441913+7126195  56.079740    71.438751    3582 3600 +0.5 5.0 < 8.0      
2M03463676+3110459  56.653194    31.179443    3577 3600 -0.0 4.5 < 8.0      
2M03481149+3054134  57.047896    30.903734    3311 3300 -0.0 5.0 < 8.0      
2M03553536+5002402  58.897358    50.044521    3326 3400 -0.5 4.5 < 8.0      
2M03553688+5214291  58.903693    52.241417    3403 3300 -0.0 4.5 < 8.0      
2M03583626+5201252  59.651122    52.023670    3693 3700 -0.0 4.5 < 8.0      
2M04010755+5123196  60.281459    51.388779    3324 3300 -0.0 4.5 < 8.0      
2M04030024+5238026  60.751031    52.634060    3073 3200 -0.5 5.5 < 8.0      
2M04042573+5322083  61.107229    53.368984    3811 3800 -0.0 4.5 < 8.0      
2M04063732+7916012  61.655503    79.267006    2956 2900 -0.0 5.0 < 8.0      
2M04104186+5124238  62.674441    51.406612    3349 3300 +0.5 5.0 < 8.0      
2M04125880+5236421  63.245023    52.611698    3206 3200 -0.0 5.0 < 8.0      
